Altitude,Speed,Radar_Cross_Section,Acoustic_Signature,Thermal_Signature,RF_Signal_Strength,Target_Type
576.79,33.84,4.8,105.67,91.43,84.11,Drone Swarm
135.88,17.32,0.04,24.09,39.14,0.0,Bird
115.78,22.24,0.01,21.32,38.97,0.0,Bird
896.29,31.47,0.35,47.5,54.87,54.85,Single Drone
448.37,46.45,0.28,53.56,47.45,33.22,Single Drone
109.63,8.55,0.05,17.47,37.35,0.0,Bird
902.66,15.06,0.11,59.85,56.31,26.64,Single Drone
153.99,19.38,0.01,24.85,37.66,0.0,Bird
116.64,15.25,0.03,26.8,41.64,0.0,Bird
828.52,41.77,0.23,52.75,55.02,55.77,Single Drone
311.9,43.07,1.54,102.77,99.4,84.83,Drone Swarm
183.08,16.6,0.04,29.47,40.67,0.0,Bird
60.48,41.15,2.54,77.43,77.39,71.9,Drone Swarm
727.38,13.34,4.4,86.82,87.48,101.97,Drone Swarm
77.14,18.36,0.03,14.22,40.05,0.0,Bird
357.78,19.6,4.26,90.17,97.33,115.38,Drone Swarm
81.16,8.7,0.02,23.45,39.86,0.0,Bird
168.84,14.05,0.05,14.35,41.85,0.0,Bird
332.97,12.63,0.36,42.09,58.27,59.17,Single Drone
272.61,44.69,0.36,51.7,46.08,46.47,Single Drone
145.03,35.57,5.69,86.63,84.63,81.85,Drone Swarm
314.76,38.94,0.12,66.01,61.1,39.12,Single Drone
160.86,21.03,0.02,13.81,41.33,0.0,Bird
651.52,14.51,0.3,47.64,60.32,38.9,Single Drone
339.27,38.13,0.25,45.74,63.91,40.85,Single Drone
943.38,33.25,2.49,107.63,98.54,119.87,Drone Swarm
564.91,19.63,0.19,46.11,51.5,44.59,Single Drone
52.17,16.3,0.02,14.63,41.12,0.0,Bird
118.28,11.49,0.05,16.0,41.96,0.0,Bird
112.91,14.62,0.05,23.19,38.13,0.0,Bird
493.62,35.01,5.86,98.56,91.61,94.08,Drone Swarm
509.96,18.37,0.15,57.42,46.51,59.9,Single Drone
116.57,29.09,0.19,59.64,64.14,48.22,Single Drone
966.14,13.92,0.19,43.8,53.29,50.55,Single Drone
59.0,6.3,0.03,12.41,41.6,0.0,Bird
23.82,11.16,0.03,14.58,38.75,0.0,Bird
147.93,24.47,0.03,28.82,37.13,0.0,Bird
943.71,16.56,0.26,55.69,64.42,48.2,Single Drone
750.28,19.53,0.15,68.97,55.09,25.93,Single Drone
413.91,21.94,2.89,80.01,78.18,107.59,Drone Swarm
577.73,31.56,3.96,103.92,85.82,75.42,Drone Swarm
864.96,22.12,0.29,58.34,47.92,32.41,Single Drone
94.36,30.56,3.51,95.38,96.78,108.66,Drone Swarm
694.16,26.85,4.64,105.06,99.9,85.72,Drone Swarm
452.41,26.99,2.55,93.88,71.43,117.27,Drone Swarm
157.66,14.94,0.02,19.1,39.1,0.0,Bird
362.64,22.03,2.93,92.37,78.96,91.06,Drone Swarm
808.31,22.95,1.58,101.62,90.38,90.67,Drone Swarm
962.24,41.01,4.83,83.9,99.53,89.57,Drone Swarm
163.78,18.9,0.01,15.07,40.24,0.0,Bird
446.51,46.59,0.33,57.2,62.18,54.18,Single Drone
418.65,33.03,4.27,77.51,82.19,78.34,Drone Swarm
104.31,22.45,0.04,11.01,37.0,0.0,Bird
108.6,40.13,3.28,85.87,71.42,93.81,Drone Swarm
23.41,14.73,0.04,13.76,39.71,0.0,Bird
873.66,17.71,0.36,42.85,46.16,37.99,Single Drone
59.01,7.05,0.04,20.3,37.67,0.0,Bird
823.35,41.31,1.93,78.97,84.15,80.91,Drone Swarm
450.24,14.07,0.2,46.99,64.65,35.58,Single Drone
533.78,21.39,3.59,75.88,70.48,95.29,Drone Swarm
901.02,47.2,0.32,62.32,45.05,45.06,Single Drone
542.11,46.36,0.18,64.51,55.43,33.58,Single Drone
91.35,7.62,0.01,20.0,38.25,0.0,Bird
86.66,9.24,0.05,22.48,39.82,0.0,Bird
151.68,22.17,0.15,47.54,54.84,42.31,Single Drone
539.41,28.22,0.29,55.51,50.7,20.09,Single Drone
162.42,7.21,0.02,29.3,41.9,0.0,Bird
921.91,15.45,1.58,102.22,100.0,72.46,Drone Swarm
885.73,20.21,4.01,90.73,86.09,79.04,Drone Swarm
199.36,19.32,0.02,16.53,38.23,0.0,Bird
643.2,12.64,5.47,100.84,86.05,112.65,Drone Swarm
654.24,40.7,2.0,92.71,82.97,73.81,Drone Swarm
271.22,28.98,0.15,48.42,56.14,49.56,Single Drone
69.23,21.89,0.01,24.7,41.93,0.0,Bird
749.91,16.06,2.62,93.44,79.39,79.66,Drone Swarm
257.83,14.93,0.17,62.82,63.84,33.25,Single Drone
454.58,42.45,4.66,90.17,98.64,80.02,Drone Swarm
920.02,22.68,0.36,61.5,50.29,25.23,Single Drone
189.51,7.44,0.04,12.59,39.94,0.0,Bird
690.58,37.17,0.17,44.49,60.85,55.09,Single Drone
120.84,18.16,0.03,21.99,37.68,0.0,Bird
636.04,36.72,5.5,101.78,87.6,87.08,Drone Swarm
648.52,48.72,0.45,41.47,61.22,39.01,Single Drone
818.65,28.2,2.88,79.31,87.64,83.43,Drone Swarm
53.31,18.1,0.05,24.65,40.96,0.0,Bird
187.98,20.22,0.04,26.28,38.63,0.0,Bird
181.08,11.92,0.04,29.06,39.5,0.0,Bird
185.17,43.55,5.67,81.48,97.94,77.47,Drone Swarm
730.19,33.63,0.37,43.91,61.57,53.51,Single Drone
198.92,18.71,0.45,59.75,53.77,22.73,Single Drone
67.26,19.67,0.02,26.35,37.55,0.0,Bird
207.94,35.57,0.28,63.83,54.09,46.37,Single Drone
912.37,43.7,0.21,57.76,59.31,25.98,Single Drone
194.17,20.96,0.01,19.77,39.97,0.0,Bird
100.19,15.16,0.49,46.83,47.29,55.71,Single Drone
844.65,26.66,2.39,83.87,99.0,106.13,Drone Swarm
47.2,8.59,0.02,13.82,37.82,0.0,Bird
116.01,24.14,5.36,82.3,95.44,97.26,Drone Swarm
88.78,9.81,0.02,23.13,38.96,0.0,Bird
187.87,9.01,0.03,23.84,41.99,0.0,Bird
209.62,17.62,0.15,42.93,55.64,58.6,Single Drone
486.58,19.6,0.21,50.21,54.42,53.97,Single Drone
141.46,14.03,0.04,23.47,39.93,0.0,Bird
670.81,24.95,5.07,88.0,97.11,94.57,Drone Swarm
834.17,10.8,0.21,57.31,53.8,59.99,Single Drone
566.6,19.61,0.32,47.0,53.38,58.31,Single Drone
629.03,27.06,1.7,105.55,95.52,97.89,Drone Swarm
444.88,33.57,3.08,80.93,76.33,84.88,Drone Swarm
93.12,6.91,0.02,23.34,38.1,0.0,Bird
787.81,41.44,4.33,91.03,93.87,116.82,Drone Swarm
365.69,39.72,1.98,108.91,82.0,89.65,Drone Swarm
210.31,13.94,0.11,64.18,48.76,42.2,Single Drone
101.88,48.99,0.1,40.66,57.67,57.69,Single Drone
652.52,44.09,3.98,87.47,88.29,88.85,Drone Swarm
142.36,6.43,0.05,13.45,37.61,0.0,Bird
173.99,20.73,0.01,24.73,40.46,0.0,Bird
22.36,9.6,0.03,25.02,37.41,0.0,Bird
130.05,15.62,0.03,25.67,39.05,0.0,Bird
409.4,27.33,0.15,60.6,56.2,59.45,Single Drone
91.77,44.41,5.67,105.57,71.74,91.4,Drone Swarm
315.06,30.38,0.31,60.89,62.69,30.13,Single Drone
739.06,32.4,0.12,67.0,62.82,37.36,Single Drone
75.68,17.74,0.04,26.53,38.46,0.0,Bird
197.81,28.14,4.17,95.3,81.8,93.56,Drone Swarm
749.65,44.26,0.2,50.51,60.08,29.49,Single Drone
99.05,18.53,0.04,23.82,37.7,0.0,Bird
194.64,16.85,0.04,11.37,39.78,0.0,Bird
806.17,31.52,1.71,78.55,75.61,77.6,Drone Swarm
551.21,20.51,0.3,52.18,52.64,26.09,Single Drone
178.57,24.82,0.04,21.66,41.25,0.0,Bird
177.09,38.91,0.15,59.62,49.75,54.12,Single Drone
500.81,13.56,0.27,52.32,62.91,24.86,Single Drone
664.8,11.22,2.92,109.49,83.9,106.55,Drone Swarm
42.2,18.71,0.05,16.74,37.81,0.0,Bird
97.55,15.38,0.03,13.66,41.48,0.0,Bird
642.21,38.01,0.47,53.53,54.12,50.56,Single Drone
181.79,17.48,0.04,25.54,37.69,0.0,Bird
673.03,47.34,0.1,47.56,54.39,50.26,Single Drone
819.57,43.1,1.74,81.42,71.46,107.93,Drone Swarm
99.69,14.21,0.01,21.01,41.69,0.0,Bird
998.63,20.23,2.63,78.03,88.41,84.25,Drone Swarm
85.81,20.38,0.01,26.47,41.1,0.0,Bird
309.27,27.58,2.87,89.66,89.36,92.99,Drone Swarm
685.8,17.64,0.25,49.99,52.44,41.75,Single Drone
57.84,11.96,0.03,28.42,37.67,0.0,Bird
80.42,13.88,0.04,29.91,39.0,0.0,Bird
473.53,30.48,0.14,59.14,50.48,27.37,Single Drone
18.63,12.92,0.03,17.1,37.13,0.0,Bird
137.66,22.47,0.04,24.63,39.35,0.0,Bird
817.95,23.5,3.32,90.79,78.02,115.15,Drone Swarm
235.21,19.74,0.36,60.49,51.59,21.28,Single Drone
75.75,22.46,0.36,64.86,46.97,53.83,Single Drone
43.13,15.8,0.04,13.71,41.98,0.0,Bird
92.89,18.2,0.24,55.97,55.26,53.12,Single Drone
175.33,27.09,5.76,109.81,78.96,112.58,Drone Swarm
907.85,43.01,4.65,87.76,91.66,110.32,Drone Swarm
783.24,35.68,0.29,40.35,56.0,34.16,Single Drone
274.96,36.17,5.32,75.78,70.28,101.32,Drone Swarm
834.96,40.56,1.75,109.11,86.77,89.53,Drone Swarm
344.35,20.31,1.78,104.14,90.42,91.98,Drone Swarm
156.88,24.65,0.18,42.01,47.14,24.19,Single Drone
858.31,23.83,0.41,68.42,54.11,56.36,Single Drone
83.48,7.14,0.04,27.63,41.06,0.0,Bird
509.32,32.07,0.32,51.09,59.45,22.27,Single Drone
46.53,6.71,0.02,17.44,39.03,0.0,Bird
627.24,30.76,5.27,89.7,99.37,97.97,Drone Swarm
129.5,32.86,3.32,109.39,89.68,101.56,Drone Swarm
841.4,36.55,2.78,94.36,70.97,115.04,Drone Swarm
876.6,11.27,4.69,100.89,77.52,88.14,Drone Swarm
109.39,13.71,0.04,18.04,39.88,0.0,Bird
133.05,24.49,0.11,62.09,47.19,43.08,Single Drone
312.92,29.61,0.2,47.03,49.57,51.01,Single Drone
936.05,31.37,5.81,106.44,77.02,104.1,Drone Swarm
115.53,10.45,0.01,15.99,38.53,0.0,Bird
365.81,46.24,0.35,41.42,59.32,33.51,Single Drone
398.46,29.72,0.11,45.96,47.89,30.45,Single Drone
69.97,28.18,1.66,91.03,95.84,83.37,Drone Swarm
511.35,49.98,0.45,59.65,62.9,48.74,Single Drone
133.77,20.7,0.02,11.68,41.24,0.0,Bird
130.37,11.7,0.02,16.02,39.74,0.0,Bird
415.81,30.87,0.26,42.73,63.93,36.08,Single Drone
77.58,16.76,0.04,25.75,38.08,0.0,Bird
194.28,19.77,0.05,25.58,41.96,0.0,Bird
38.25,23.86,0.03,13.22,37.9,0.0,Bird
190.55,6.14,0.02,20.6,41.08,0.0,Bird
144.19,20.5,0.12,58.2,63.35,44.35,Single Drone
125.43,5.74,0.02,13.98,40.36,0.0,Bird
690.94,33.1,4.94,98.96,71.12,100.57,Drone Swarm
103.94,7.97,0.03,10.78,40.64,0.0,Bird
89.47,19.36,0.05,11.34,39.36,0.0,Bird
914.23,17.47,2.33,100.33,73.51,95.96,Drone Swarm
662.18,30.6,5.23,106.08,92.53,97.27,Drone Swarm
603.95,37.74,0.31,61.47,59.54,41.81,Single Drone
455.55,28.83,0.27,66.21,48.61,23.0,Single Drone
897.85,35.53,0.17,69.4,62.87,54.92,Single Drone
428.67,28.97,1.93,90.59,70.79,76.13,Drone Swarm
86.16,17.28,0.02,19.28,41.53,0.0,Bird
633.03,35.27,4.88,84.56,86.96,111.34,Drone Swarm
614.4,18.93,5.25,105.36,86.04,100.66,Drone Swarm
106.0,5.73,0.03,29.98,38.23,0.0,Bird
29.21,18.34,0.02,18.85,41.61,0.0,Bird
241.71,31.61,0.14,64.71,54.94,29.61,Single Drone
164.94,5.36,0.05,15.42,40.02,0.0,Bird
188.24,36.77,0.42,44.09,57.68,33.23,Single Drone
619.06,21.49,5.08,76.96,86.49,94.06,Drone Swarm
49.78,6.2,0.05,14.41,40.82,0.0,Bird
849.54,14.59,0.19,40.66,49.6,40.03,Single Drone
657.15,48.21,0.42,64.85,56.74,58.85,Single Drone
711.85,37.88,0.47,67.57,57.42,54.01,Single Drone
191.42,24.52,0.04,25.64,41.05,0.0,Bird
12.73,9.57,0.03,13.4,39.2,0.0,Bird
874.58,40.01,0.42,68.78,49.71,45.86,Single Drone
26.51,5.72,0.02,25.39,37.27,0.0,Bird
552.65,37.01,2.57,107.87,81.27,75.44,Drone Swarm
805.26,10.36,0.3,63.62,61.89,22.17,Single Drone
773.71,18.09,1.95,77.44,84.8,89.41,Drone Swarm
137.62,10.13,0.03,16.85,38.42,0.0,Bird
535.45,21.99,4.41,96.29,86.13,114.48,Drone Swarm
932.33,44.38,0.46,57.31,52.29,28.07,Single Drone
96.33,42.73,0.31,40.61,52.73,58.49,Single Drone
132.37,16.83,0.41,61.92,60.96,37.1,Single Drone
174.45,18.9,0.03,17.84,40.16,0.0,Bird
715.18,16.2,2.24,94.69,79.1,94.69,Drone Swarm
64.71,20.82,2.65,78.49,80.99,113.78,Drone Swarm
646.93,21.85,0.36,66.41,61.35,42.59,Single Drone
848.33,33.49,0.35,53.71,45.37,50.2,Single Drone
43.65,8.71,0.02,21.14,38.66,0.0,Bird
67.25,21.46,1.97,98.58,75.74,95.34,Drone Swarm
182.66,32.06,1.65,92.25,83.06,117.52,Drone Swarm
608.29,24.96,3.9,101.88,80.46,86.02,Drone Swarm
16.37,8.0,0.02,19.86,39.69,0.0,Bird
376.11,16.05,0.23,66.02,59.2,44.03,Single Drone
511.59,47.27,0.43,60.69,58.47,47.78,Single Drone
482.87,36.36,0.42,61.93,57.06,24.1,Single Drone
592.36,22.77,0.48,51.67,51.49,59.26,Single Drone
823.36,40.94,3.55,109.61,93.21,103.12,Drone Swarm
842.29,31.45,2.32,79.83,71.73,79.35,Drone Swarm
265.9,28.63,0.28,43.98,61.61,55.51,Single Drone
622.0,24.69,2.39,79.43,70.65,91.49,Drone Swarm
471.27,22.58,0.49,47.25,55.7,43.62,Single Drone
705.47,16.62,1.87,90.82,85.44,118.06,Drone Swarm
92.43,19.54,0.02,13.13,41.13,0.0,Bird
151.29,17.14,0.13,58.13,50.83,28.9,Single Drone
369.35,23.57,5.64,103.67,91.25,102.66,Drone Swarm
15.47,13.22,0.02,19.76,40.4,0.0,Bird
438.72,46.99,0.3,61.15,61.3,37.42,Single Drone
378.3,35.26,3.75,95.08,70.86,98.84,Drone Swarm
180.39,19.49,0.02,19.79,39.14,0.0,Bird
749.12,12.12,0.3,57.81,55.1,54.33,Single Drone
190.51,7.24,0.02,12.6,37.02,0.0,Bird
675.39,29.72,0.15,51.93,64.01,39.09,Single Drone
461.42,21.56,3.0,105.18,72.09,88.9,Drone Swarm
53.47,18.92,0.02,21.79,41.45,0.0,Bird
588.14,12.12,1.52,87.18,96.44,95.27,Drone Swarm
952.02,16.33,4.02,94.03,82.56,116.04,Drone Swarm
39.72,6.63,0.03,26.09,39.03,0.0,Bird
290.11,34.92,2.91,81.65,80.85,84.88,Drone Swarm
12.49,12.44,0.03,20.63,41.78,0.0,Bird
956.32,41.26,3.31,104.25,84.53,80.1,Drone Swarm
995.65,30.73,0.12,41.48,51.95,47.57,Single Drone
325.96,16.85,2.59,79.61,78.2,73.96,Drone Swarm
448.69,39.07,2.24,109.62,95.85,102.73,Drone Swarm
390.81,22.87,0.32,41.03,52.31,35.49,Single Drone
165.24,11.92,0.02,25.02,38.35,0.0,Bird
41.09,17.3,0.03,21.9,37.84,0.0,Bird
189.98,15.37,0.05,29.61,38.65,0.0,Bird
317.4,41.82,0.27,50.39,60.55,53.33,Single Drone
560.66,12.92,0.21,62.59,64.97,37.38,Single Drone
822.48,33.12,0.24,59.47,63.22,41.0,Single Drone
555.73,21.31,4.53,82.37,98.35,73.16,Drone Swarm
127.46,14.78,0.05,25.13,39.38,0.0,Bird
76.61,21.45,0.03,19.17,38.16,0.0,Bird
986.32,49.71,0.22,43.71,45.72,38.04,Single Drone
645.42,39.47,0.24,69.21,55.75,32.04,Single Drone
156.73,10.93,0.04,24.13,38.62,0.0,Bird
999.38,44.02,0.11,42.63,55.04,48.65,Single Drone
617.92,25.61,0.27,55.75,59.74,30.47,Single Drone
874.32,43.82,0.11,61.38,46.52,33.08,Single Drone
26.81,20.34,0.03,22.07,41.09,0.0,Bird
349.89,33.86,0.17,61.42,60.45,28.34,Single Drone
112.05,11.06,0.02,17.96,40.59,0.0,Bird
620.21,11.33,4.91,86.18,79.8,98.77,Drone Swarm
180.3,8.76,0.02,26.66,38.49,0.0,Bird
182.61,22.9,0.02,12.09,38.88,0.0,Bird
61.46,21.3,0.02,19.28,40.92,0.0,Bird
847.59,44.95,2.7,93.53,97.97,113.97,Drone Swarm
591.02,14.53,0.17,52.56,45.66,51.09,Single Drone
74.95,12.36,0.02,16.17,38.03,0.0,Bird
43.63,9.53,0.04,13.71,41.55,0.0,Bird
561.44,17.91,0.18,41.21,56.26,45.07,Single Drone
175.24,30.97,4.77,75.16,76.56,115.42,Drone Swarm
707.19,49.78,0.34,55.14,58.76,43.18,Single Drone
88.32,22.05,0.26,43.8,57.76,44.64,Single Drone
490.79,37.33,0.47,48.64,48.21,30.94,Single Drone
348.79,16.53,5.99,100.17,84.74,118.99,Drone Swarm
983.36,20.83,0.39,45.18,59.86,56.07,Single Drone
85.34,19.74,0.02,26.8,38.2,0.0,Bird
176.56,9.56,0.01,12.88,39.29,0.0,Bird
12.09,15.35,0.01,10.33,41.7,0.0,Bird
879.99,34.25,5.62,81.22,87.18,96.8,Drone Swarm
14.82,19.66,0.04,10.84,38.5,0.0,Bird
978.75,23.42,5.38,101.54,98.13,88.87,Drone Swarm
975.72,26.81,0.12,48.23,61.49,43.61,Single Drone
703.71,21.24,5.53,97.71,88.57,105.92,Drone Swarm
511.29,42.01,1.68,84.68,96.29,106.66,Drone Swarm
629.86,10.34,0.29,52.4,57.75,43.34,Single Drone
163.41,22.77,0.04,15.42,38.47,0.0,Bird
333.86,37.78,1.82,109.45,81.29,71.24,Drone Swarm
31.52,6.97,0.04,11.06,41.3,0.0,Bird
136.13,34.6,2.56,91.06,82.71,85.61,Drone Swarm
573.04,30.07,0.49,40.45,59.45,25.38,Single Drone
192.9,21.35,0.04,10.17,41.38,0.0,Bird
300.37,17.35,0.15,59.68,58.81,23.64,Single Drone
103.58,5.62,0.04,11.15,41.56,0.0,Bird
166.28,15.67,0.03,19.3,37.12,0.0,Bird
368.13,16.73,0.12,68.23,57.65,30.0,Single Drone
535.54,35.14,0.23,54.75,62.53,27.77,Single Drone
40.63,9.49,0.02,14.84,39.5,0.0,Bird
916.23,24.82,0.47,50.34,46.02,25.09,Single Drone
70.67,9.12,0.04,18.22,37.38,0.0,Bird
133.43,18.09,0.04,24.37,40.45,0.0,Bird
591.04,44.85,4.12,84.89,76.5,111.27,Drone Swarm
419.75,24.69,0.22,50.13,59.64,29.43,Single Drone
121.15,27.89,0.23,49.41,51.76,43.54,Single Drone
159.83,15.96,0.01,26.62,41.94,0.0,Bird
60.93,22.53,0.01,15.44,39.77,0.0,Bird
185.86,8.7,0.02,16.95,41.78,0.0,Bird
25.46,18.47,0.02,28.58,38.2,0.0,Bird
127.44,24.26,0.01,27.29,39.0,0.0,Bird
181.22,12.33,0.05,21.86,40.71,0.0,Bird
223.53,22.23,1.62,93.34,72.47,78.96,Drone Swarm
43.71,7.62,0.03,21.15,37.24,0.0,Bird
880.35,23.56,5.12,102.33,77.88,92.53,Drone Swarm
777.05,41.31,0.3,50.05,63.68,20.74,Single Drone
681.5,33.14,0.1,46.09,54.52,40.5,Single Drone
950.3,29.86,0.28,45.22,63.18,59.04,Single Drone
791.05,31.98,0.11,57.67,52.62,23.55,Single Drone
317.22,22.4,0.29,49.4,59.98,20.81,Single Drone
160.25,31.9,5.26,81.35,81.46,86.98,Drone Swarm
36.48,16.6,0.03,28.77,39.12,0.0,Bird
71.41,6.52,0.05,22.34,37.08,0.0,Bird
669.67,24.2,0.28,44.29,52.3,58.36,Single Drone
248.31,36.36,2.35,105.46,75.88,119.39,Drone Swarm
894.55,11.03,0.44,56.67,53.55,43.6,Single Drone
73.63,21.01,1.93,85.42,93.49,106.83,Drone Swarm
192.63,19.32,0.01,16.49,37.4,0.0,Bird
487.31,25.38,3.97,95.49,73.0,110.45,Drone Swarm
900.93,40.59,2.05,80.6,96.72,88.1,Drone Swarm
18.83,21.58,0.04,22.65,38.8,0.0,Bird
890.27,10.58,4.45,106.58,90.65,105.7,Drone Swarm
294.85,31.85,4.93,89.4,81.44,107.19,Drone Swarm
552.22,30.25,0.11,40.94,56.43,20.04,Single Drone
332.98,20.88,1.56,77.64,80.48,98.01,Drone Swarm
344.0,28.61,0.38,47.61,55.98,37.93,Single Drone
629.2,26.97,0.34,46.95,46.99,45.1,Single Drone
176.69,23.64,0.02,15.0,38.58,0.0,Bird
965.5,10.72,0.29,60.44,60.53,21.58,Single Drone
110.63,11.02,0.04,26.57,40.47,0.0,Bird
160.4,11.32,0.02,25.29,37.49,0.0,Bird
138.74,17.34,0.04,23.1,37.88,0.0,Bird
374.97,43.1,0.26,46.81,53.19,40.52,Single Drone
32.33,12.88,0.05,15.51,39.01,0.0,Bird
182.77,17.52,0.01,18.07,40.1,0.0,Bird
131.14,8.34,0.04,10.31,40.03,0.0,Bird
